scenario,model,ROC-AUC_mean,PR-AUC_mean,Precision_mean,Recall_mean,F1_mean,selected_threshold_mean,ECE_mean,Brier_mean,TP_mean,TN_mean,FP_mean,FN_mean,ROC-AUC_std,PR-AUC_std,Precision_std,Recall_std,F1_std,selected_threshold_std,ECE_std,Brier_std,TP_std,TN_std,FP_std,FN_std
LODO0,DG-Hetero-GNN,0.5640441739502254,0.12147375347886187,0.08177368570572671,0.5485148514851484,0.13109229020542237,0.07664663344621658,0.04032222473469553,0.08886650055646897,2493.0,19917.6,22101.4,2052.0,0.10449410878887076,0.05150513419339617,0.038908781711600275,0.43058340683313295,0.07756874607308809,0.04514643793844812,0.007771440874313993,0.0011779657851845112,1957.0015840565893,15689.555323207856,15689.555323207856,1957.0015840565893
LODO1,DG-Hetero-GNN,0.5610678814418696,0.042925032921348916,0.058188717763644274,0.018854958137734114,0.009229433686062478,0.17641785517334937,0.06395505308618993,0.04061528369784355,389.6,557347.2,12529.8,20273.4,0.043438717261131084,0.004640794097992786,0.10200759047969794,0.03756489756943002,0.01817020521045876,0.09588522371829368,0.0494926148816019,0.005573122712911417,776.2034784771323,25051.10086523145,25051.100865231452,776.2034784771323
LODO2,DG-Hetero-GNN,0.5419398739131018,0.07065909134664598,0.06809534830954407,0.7906505899800116,0.11584345631198387,0.13398485518991948,0.13081140527888538,0.08062917664647103,12262.2,52390.4,182100.6,3246.8,0.03990756059847194,0.010489858434904194,0.01141370765901971,0.3264604939287596,0.0025220873752070114,0.0712163957056552,0.06616352581313302,0.016132798282783238,5063.075800341132,80597.45870832405,80597.45870832405,5063.075800341133
