scenario,model,ROC-AUC_mean,PR-AUC_mean,Precision_mean,Recall_mean,F1_mean,selected_threshold_mean,ECE_mean,Brier_mean,TP_mean,TN_mean,FP_mean,FN_mean,ROC-AUC_std,PR-AUC_std,Precision_std,Recall_std,F1_std,selected_threshold_std,ECE_std,Brier_std,TP_std,TN_std,FP_std,FN_std
ABLATION_full,DG-Hetero-GNN,0.3068,0.4573501422867481,0.3004830917874396,0.472,0.36071428571428577,0.042259293874667495,0.5097631201054901,0.5114784955978393,11.8,9.2,10.8,13.2,0.05391252173660585,0.03225939189251707,0.252567852663077,0.4507061126721048,0.31951813209064345,0.04683787283850004,0.04931095410931116,0.04485137438491206,11.26765281680262,9.086253353280437,9.086253353280437,11.26765281680262
ABLATION_without_deep_classifier,DG-Hetero-GNN,0.4732,0.575166630711415,0.31363636363636366,0.27999999999999997,0.25827724958159737,0.13475254755467175,0.48813958840030763,0.4900314748287201,7.0,14.2,5.8,18.0,0.1504159566003554,0.09536683800264859,0.2572903945106347,0.37180640123591197,0.2666532810082506,0.06743228991730192,0.04519677286720413,0.043600602460010025,9.2951600308978,6.997142273814361,6.997142273814361,9.2951600308978
ABLATION_without_domain_generalization,DG-Hetero-GNN,0.40359999999999996,0.5398758450589578,0.2,0.008,0.015384615384615385,0.24629079699516296,0.3673877588907878,0.38624204993247985,0.2,20.0,0.0,24.8,0.10467779134085703,0.058229668350679706,0.4,0.016,0.03076923076923077,0.013728453429725387,0.014059963445888663,0.013041662418222633,0.4,0.0,0.0,0.4
ABLATION_without_heterogeneous_message_passing,DG-Hetero-GNN,0.5516,0.6415192208541423,0.5544744744744745,0.752,0.5997709817064656,0.2468883216381073,0.29348185148504047,0.33561061024665834,18.8,6.4,13.6,6.2,0.12200590149660792,0.09574387948624079,0.08724839570343451,0.3444648022657758,0.2332927122454754,0.06330605018111425,0.055806202616485674,0.029069570894750485,8.611620056644394,6.468384651518492,6.468384651518492,8.611620056644394
ABLATION_without_threshold_optimization,DG-Hetero-GNN,0.4244,0.5327183013787338,0.0,0.0,0.0,0.5,0.5104231301343276,0.5107739210128784,0.0,20.0,0.0,25.0,0.158313107480082,0.11020848709395364,0.0,0.0,0.0,0.0,0.039590850350562604,0.03797613397297382,0.0,0.0,0.0,0.0
ABLATION_without_type_projection,DG-Hetero-GNN,0.4984,0.5973245053782386,0.38191570881226056,0.42400000000000004,0.3731080389144905,0.05664028285245877,0.5070888008911991,0.5081519424915314,10.6,10.6,9.4,14.4,0.17366818937272308,0.1366503340202369,0.21712240385089057,0.38165953414005005,0.2834323761575802,0.06263324443653638,0.05054051293265478,0.048269820162179795,9.54148835350125,6.916646586316233,6.916646586316233,9.54148835350125
ADAPTIVE_OOD,DG-Hetero-GNN,0.3068,0.4573501422867481,0.3004830917874396,0.472,0.36071428571428577,0.042259293874667495,0.5097631201054901,0.5114784955978393,11.8,9.2,10.8,13.2,0.05391252173660585,0.03225939189251707,0.252567852663077,0.4507061126721048,0.31951813209064345,0.04683787283850004,0.04931095410931116,0.04485137438491206,11.26765281680262,9.086253353280437,9.086253353280437,11.26765281680262
LODO0,DG-Hetero-GNN,0.5640441739502254,0.12147375347886187,0.08177368570572671,0.5485148514851484,0.13109229020542237,0.07664663344621658,0.04032222473469553,0.08886650055646897,2493.0,19917.6,22101.4,2052.0,0.10449410878887076,0.05150513419339617,0.038908781711600275,0.43058340683313295,0.07756874607308809,0.04514643793844812,0.007771440874313993,0.0011779657851845112,1957.0015840565893,15689.555323207856,15689.555323207856,1957.0015840565893
LODO0,GAT,0.6110232164604881,0.13094857416050068,0.11981986076196505,0.7770737073707371,0.2025892186852502,0.21201430559158324,0.1823560954196787,0.12948036342859268,3531.8,15437.6,26581.4,1013.2,0.12094121741636578,0.05004946059713616,0.01866573982271726,0.2571759020039006,0.03320668384468485,0.0936782443392878,0.06283022778917194,0.02271062377853731,1168.864474607728,9875.007171642967,9875.007171642967,1168.864474607728
LODO0,GCN,0.6417044005264422,0.13453014196856644,0.11748452114187921,0.37663366336633664,0.14440920888456166,0.27565200920216737,0.10595357718090018,0.10387539267539977,1711.8,28844.2,13174.8,2833.2,0.03767162674370663,0.024428514402586907,0.05705247953339525,0.36231688961041286,0.08343428670289987,0.15714751126540444,0.037889469743589865,0.00702712250276258,1646.7302632793264,15221.176332990826,15221.176332990826,1646.7302632793264
