scenario,ECE_mean,Brier_mean
ADAPTIVE_OOD,0.5097631201054901,0.5114784955978393
LODO0,0.04032222473469553,0.08886650055646897
LODO1,0.06395505308618993,0.04061528369784355
LODO2,0.13081140527888538,0.08062917664647103
OOD,0.5104231301343276,0.5107739210128784
