[2026-08-30T11:20:00+00:00] RUN paper-full-20260830 | minimal-diff-notebook | FULL_PAPER_RUN | artifacts=D:\Rayan Paper materials\artifacts_runs\minimal-diff-notebook\FULL_PAPER_RUN\paper-full-20260830 | cuda=0MiB allocated/0MiB reserved
[2026-08-30T11:20:24+00:00] epoch 5/40 loss=0.423606 elapsed=2.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:25+00:00] epoch 6/40 loss=0.421104 elapsed=3.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:25+00:00] epoch 7/40 loss=0.418437 elapsed=3.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:25+00:00] epoch 8/40 loss=0.415333 elapsed=4.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:26+00:00] epoch 9/40 loss=0.412004 elapsed=4.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:26+00:00] epoch 10/40 loss=0.407247 elapsed=5.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:27+00:00] epoch 11/40 loss=0.401480 elapsed=5.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:27+00:00] epoch 12/40 loss=0.393947 elapsed=6.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:28+00:00] epoch 13/40 loss=0.386629 elapsed=6.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:28+00:00] epoch 14/40 loss=0.376902 elapsed=7.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:29+00:00] epoch 15/40 loss=0.366715 elapsed=7.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:29+00:00] epoch 16/40 loss=0.354089 elapsed=7.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:30+00:00] epoch 17/40 loss=0.341432 elapsed=8.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:30+00:00] epoch 18/40 loss=0.330199 elapsed=8.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:31+00:00] epoch 19/40 loss=0.318717 elapsed=9.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:31+00:00] epoch 20/40 loss=0.309808 elapsed=9.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:32+00:00] epoch 21/40 loss=0.303075 elapsed=10.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:32+00:00] epoch 22/40 loss=0.298845 elapsed=10.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:33+00:00] epoch 23/40 loss=0.298738 elapsed=11.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:33+00:00] epoch 24/40 loss=0.302850 elapsed=11.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:34+00:00] epoch 25/40 loss=0.310972 elapsed=12.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:34+00:00] epoch 26/40 loss=0.325037 elapsed=12.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:35+00:00] epoch 27/40 loss=0.339978 elapsed=13.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:35+00:00] epoch 28/40 loss=0.359366 elapsed=13.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:36+00:00] epoch 29/40 loss=0.384513 elapsed=14.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:36+00:00] epoch 30/40 loss=0.408132 elapsed=14.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:37+00:00] epoch 31/40 loss=0.436513 elapsed=15.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:37+00:00] epoch 32/40 loss=0.469793 elapsed=15.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:38+00:00] epoch 33/40 loss=0.500226 elapsed=16.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:38+00:00] epoch 34/40 loss=0.532428 elapsed=16.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:39+00:00] epoch 35/40 loss=0.566627 elapsed=17.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:39+00:00] epoch 36/40 loss=0.600204 elapsed=17.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:40+00:00] epoch 37/40 loss=0.636772 elapsed=18.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:40+00:00] epoch 38/40 loss=0.670638 elapsed=18.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:41+00:00] epoch 39/40 loss=0.707913 elapsed=19.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:41+00:00] epoch 40/40 loss=0.744541 elapsed=19.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:42+00:00] DONE LODO0 | DG-Hetero-GNN | seed=123 | F1=0.207947 | cuda=17MiB allocated/4822MiB reserved
[2026-08-30T11:20:42+00:00] START LODO0 | DG-Hetero-GNN | seed=3407 | cuda=17MiB allocated/68MiB reserved
[2026-08-30T11:20:43+00:00] epoch 1/40 loss=0.345654 elapsed=0.5s | cuda=583MiB allocated/4682MiB reserved
[2026-08-30T11:20:43+00:00] epoch 2/40 loss=0.332755 elapsed=1.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:44+00:00] epoch 3/40 loss=0.320085 elapsed=1.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:44+00:00] epoch 4/40 loss=0.308078 elapsed=2.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:45+00:00] epoch 5/40 loss=0.294862 elapsed=2.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:45+00:00] epoch 6/40 loss=0.282649 elapsed=3.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:46+00:00] epoch 7/40 loss=0.271567 elapsed=3.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:46+00:00] epoch 8/40 loss=0.260512 elapsed=4.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:47+00:00] epoch 9/40 loss=0.251704 elapsed=4.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:47+00:00] epoch 10/40 loss=0.245097 elapsed=5.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:48+00:00] epoch 11/40 loss=0.240837 elapsed=5.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:48+00:00] epoch 12/40 loss=0.239925 elapsed=6.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:49+00:00] epoch 13/40 loss=0.242567 elapsed=6.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:49+00:00] epoch 14/40 loss=0.249312 elapsed=7.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:50+00:00] epoch 15/40 loss=0.258974 elapsed=7.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:50+00:00] epoch 16/40 loss=0.272443 elapsed=8.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:51+00:00] epoch 17/40 loss=0.287375 elapsed=8.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:51+00:00] epoch 18/40 loss=0.304305 elapsed=8.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:52+00:00] epoch 19/40 loss=0.322124 elapsed=9.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:52+00:00] epoch 20/40 loss=0.344630 elapsed=9.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:53+00:00] epoch 21/40 loss=0.361903 elapsed=10.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:53+00:00] epoch 22/40 loss=0.382041 elapsed=10.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:54+00:00] epoch 23/40 loss=0.400366 elapsed=11.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:54+00:00] epoch 24/40 loss=0.419386 elapsed=11.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:55+00:00] epoch 25/40 loss=0.441204 elapsed=12.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:55+00:00] epoch 26/40 loss=0.461763 elapsed=12.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:56+00:00] epoch 27/40 loss=0.483527 elapsed=13.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:56+00:00] epoch 28/40 loss=0.501527 elapsed=13.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:57+00:00] epoch 29/40 loss=0.517575 elapsed=14.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:57+00:00] epoch 30/40 loss=0.541195 elapsed=14.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:58+00:00] epoch 31/40 loss=0.559136 elapsed=15.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:20:58+00:00] epoch 32/40 loss=0.583092 elapsed=15.9s | cuda=583MiB allocated/4822MiB reserved
